"experience_id","position_id","name","description","hyperlink","start_date","end_date"
"1","1","ULA","Provided support to students of varying programming skill levels and interests.","https://reg.msu.edu/Courses/Request.aspx?SubjectCode=CSE&CourseNumber=102#Results","2024-08-20","Present"
"2","2","Intern","Learned about CMR, data scrapping, and profitable market segmentations.","https://www.strategixvantage.com","2024-05-15","2024-08-16"
